,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
889,5471,松翰,"9,411,600","6,620","1,076,657,242",115.00,117.50,112.50,113.00,-,0.5,113.00,198,113.50,20,18.49
890,5484,慧友,"157,634",87,"2,425,589",15.35,15.50,15.30,15.50, ,0.0,15.45,12,15.50,9,0.00
891,5515,建國,"1,099,174",413,"15,356,483",13.95,14.10,13.90,14.05,+,0.15,14.00,30,14.05,21,9.69
892,5519,隆大,"11,619,521","4,046","235,304,276",20.00,21.10,19.55,20.30,+,1.0,20.30,31,20.40,61,9.81
893,5521,工信,"3,886,615",938,"41,988,097",10.80,10.90,10.75,10.80,+,0.05,10.80,237,10.85,219,4.78
894,5522,遠雄,"582,400",338,"32,836,618",56.20,56.90,56.20,56.20,-,0.2,56.20,69,56.40,25,11.45
895,5525,順天,"465,645",339,"11,549,897",25.00,25.00,24.55,24.75,-,0.35,24.75,1,24.80,11,145.59
896,5531,鄉林,"1,793,145",848,"26,461,240",14.85,14.95,14.60,14.75,-,0.15,14.75,80,14.80,31,86.76
897,5533,皇鼎,"203,062",72,"3,353,333",16.55,16.55,16.50,16.55, ,0.0,16.50,34,16.55,16,19.47
898,5534,長虹,"400,731",269,"33,274,687",83.30,83.30,82.80,83.10,-,0.2,83.10,1,83.20,24,9.21
899,5538,東明-KY,"682,675",481,"27,702,163",38.10,41.80,37.85,41.80,+,3.8,41.40,1,41.80,46,14.22
900,5546,永固-KY,"351,568",207,"29,028,522",82.60,83.90,82.10,82.30, ,0.0,82.20,22,82.30,7,8.92
901,5607,遠雄港,"673,251",319,"19,923,466",29.80,29.90,29.40,29.60,-,0.15,29.60,30,29.65,14,14.80
902,5608,四維航,"24,457,770","9,630","464,863,452",20.00,20.65,18.00,18.80,-,0.85,18.80,57,18.85,159,0.00
903,5706,鳳凰,"461,794",374,"18,946,034",41.65,41.80,40.50,40.80,-,0.9,40.80,8,40.95,4,272.00
904,5871,中租-KY,"4,505,340","1,451","899,641,906",203.00,203.00,198.00,199.50,+,1.5,199.50,22,200.00,16,18.12
905,5871A,中租-KY甲特,"266,800",92,"26,621,037",99.80,99.80,99.70,99.80, ,0.0,99.70,121,99.80,35,0.00
906,5876,上海商銀,"3,604,561","1,171","148,581,962",41.20,41.45,41.10,41.25,+,0.05,41.25,156,41.30,27,13.70
907,5880,合庫金,"10,497,081","3,664","219,118,239",20.90,20.95,20.85,20.85,-,0.05,20.85,"3,295",20.90,15,16.81
908,5906,台南-KY,"28,101",26,"1,238,313",44.20,44.25,43.80,44.25,-,0.05,43.95,1,44.25,3,18.83
909,5907,大洋-KY,"522,000",304,"11,217,100",21.30,21.75,21.30,21.45,+,0.2,21.45,4,21.55,2,0.00
910,6005,群益證,"11,475,423","2,507","184,273,946",16.10,16.15,15.95,16.05, ,0.0,16.05,556,16.10,325,9.79
911,6024,群益期,"322,440",273,"13,487,390",41.90,42.00,41.70,41.85,-,0.05,41.85,3,41.90,36,14.14
912,6108,競國,"1,262,611",576,"27,908,467",21.85,22.35,21.80,22.25,+,0.45,22.20,39,22.25,14,0.00
913,6112,聚碩,"537,715",396,"23,402,795",43.65,43.70,43.45,43.60,-,0.1,43.50,18,43.60,6,14.93
914,6115,鎰勝,"437,854",278,"19,715,527",45.00,45.15,44.90,45.05,+,0.25,45.05,3,45.10,20,17.46
915,6116,彩晶,"229,577,592","46,200","3,928,066,004",16.65,17.70,16.65,17.15,+,0.65,17.10,767,17.15,583,13.50
916,6117,迎廣,"12,747",19,"204,319",16.10,16.10,16.00,16.00,-,0.2,16.05,1,16.20,1,0.00
917,6120,達運,"8,047,917","2,920","141,734,271",17.50,18.20,17.35,17.35,+,0.05,17.35,257,17.40,52,0.00
918,6128,上福,"264,256",97,"7,139,955",27.15,27.20,26.95,27.15, ,0.0,27.00,2,27.20,9,23.41
919,6133,金橋,"1,782,730",553,"19,119,343",10.75,10.95,10.50,10.60,+,0.1,10.60,33,10.65,3,530.00
920,6136,富爾特,"258,873",191,"4,743,155",18.40,18.45,18.25,18.30,-,0.05,18.30,17,18.35,27,38.12
921,6139,亞翔,"3,426,026","1,623","118,123,461",35.20,35.25,34.05,34.25,-,0.85,34.20,57,34.25,1,22.53
922,6141,柏承,"2,672,411","1,481","92,131,809",35.40,35.50,34.00,34.30,-,1.3,34.30,5,34.35,21,12.80
923,6152,百一,"3,084,273","1,200","36,521,340",12.25,12.30,11.45,11.75,-,0.5,11.75,21,11.80,78,90.38
924,6153,嘉聯益,"12,925,579","5,294","476,553,926",36.70,37.20,36.50,36.80,+,0.1,36.80,39,36.85,23,31.19
925,6155,鈞寶,"3,392,971","2,068","105,866,238",30.60,32.40,30.05,30.20,+,0.2,30.15,4,30.20,19,77.44
926,6164,華興,"2,469,934",932,"30,555,813",12.70,12.80,12.20,12.20,-,0.4,12.20,177,12.25,69,0.00
927,6165,浪凡,"754,934",520,"33,932,309",45.70,45.70,44.70,44.80,-,0.9,44.80,8,44.85,4,40.00
928,6166,凌華,"524,177",365,"34,571,870",66.50,67.20,65.10,65.50,-,0.8,65.50,12,66.00,3,58.48
929,6168,宏齊,"8,943,338","3,774","201,597,607",23.00,23.60,22.00,22.50,-,0.3,22.45,6,22.50,21,32.14
930,6172,互億,"96,011",26,"3,269,471",34.05,34.15,33.90,34.00, ,0.0,33.95,10,34.00,3,85.00
931,6176,瑞儀,"4,828,970","2,806","619,526,353",129.50,130.00,127.00,129.00,-,0.5,129.00,52,129.50,251,11.48
932,6177,達麗,"1,157,239",505,"36,976,249",32.35,32.40,31.55,32.00,-,0.25,32.00,16,32.05,9,76.19
933,6183,關貿,"159,711",139,"7,759,151",49.50,49.50,48.10,48.55,+,0.5,48.55,5,48.70,6,21.58
934,6184,大豐電,"78,360",64,"3,520,123",44.85,45.00,44.85,44.95, ,0.0,44.90,62,45.00,27,13.30
935,6189,豐藝,"850,066",650,"34,748,208",41.10,41.15,40.75,41.15,-,0.05,41.00,7,41.20,32,13.76
936,6191,精成科,"17,204,083","7,616","587,071,594",34.40,34.60,33.60,34.10,+,0.55,34.05,29,34.10,5,9.97
937,6192,巨路,"386,848",310,"30,603,852",78.70,79.80,78.20,79.80,+,1.3,79.80,6,79.90,10,11.45
938,6196,帆宣,"1,685,926","1,463","202,197,658",121.00,122.50,118.50,121.00, ,0.0,121.00,5,121.50,37,24.80
939,6197,佳必琪,"949,565",640,"41,407,269",44.10,44.25,43.10,43.40,-,0.55,43.40,19,43.45,2,20.38
940,6201,亞弘電,"142,501",127,"7,453,566",53.20,53.20,51.80,52.20,-,0.6,52.20,2,52.30,1,15.58
941,6202,盛群,"4,735,719","3,433","456,999,359",99.40,99.40,95.20,95.80,-,2.4,95.70,3,95.80,16,21.01
942,6205,詮欣,"557,916",366,"23,992,914",43.90,44.40,42.60,42.75,-,1.15,42.75,2,42.80,2,21.38
943,6206,飛捷,"724,297",563,"49,335,743",67.50,68.80,67.50,68.30,+,1.6,68.30,8,68.40,1,16.58
944,6209,今國光,"7,448,081","4,527","301,752,263",40.90,41.50,39.50,40.75,+,0.35,40.70,8,40.75,18,0.00
945,6213,聯茂,"4,806,611","3,027","685,864,327",142.50,144.50,140.50,142.50,+,1.0,142.00,63,142.50,32,17.79
946,6214,精誠,"439,595",406,"38,233,122",87.30,87.50,86.70,86.90,-,0.6,86.90,21,87.00,19,12.93
947,6215,和椿,"2,693,866","1,106","65,043,674",23.90,24.70,23.50,24.25,+,0.55,24.20,26,24.25,2,25.26
948,6216,居易,"209,408",93,"5,511,448",26.40,26.40,26.20,26.25,-,0.1,26.20,38,26.25,2,20.83
949,6224,聚鼎,"1,813,934","1,542","231,626,944",130.50,131.00,126.00,126.00,-,4.5,126.00,67,126.50,7,25.15
950,6225,天瀚,"1,256",9,"4,142",--,--,--,--, ,0.0,3.34,2,3.60,1,0.00
951,6226,光鼎,"4,208,252","1,614","47,236,448",11.60,11.60,11.00,11.05,-,0.25,11.05,49,11.10,84,0.00
952,6230,尼得科超眾,"124,850",114,"26,866,552",217.00,217.00,213.50,214.50,-,1.5,214.50,4,215.00,1,23.68
953,6235,華孚,"3,321,273","1,420","76,963,603",23.50,23.55,23.00,23.05,-,0.3,23.05,79,23.10,3,6.02
954,6239,力成,"5,188,080","2,876","575,551,723",112.00,112.00,110.00,111.50,-,0.5,111.50,30,112.00,464,12.94
955,6243,迅杰,"4,455,985","2,115","110,985,208",26.05,26.20,24.05,24.30,-,0.9,24.25,7,24.30,2,0.00
956,6251,定穎,"7,580,874","2,898","159,862,671",21.30,21.40,20.85,20.85,+,0.05,20.85,82,20.90,69,8.51
957,6257,矽格,"7,928,427","4,294","417,344,118",53.50,53.60,52.10,52.40,-,0.8,52.40,111,52.50,15,12.69
958,6269,台郡,"3,157,716","2,026","392,859,477",126.00,126.00,123.50,124.00,-,1.5,124.00,19,124.50,58,15.27
959,6271,同欣電,"5,342,039","4,450","1,144,185,462",217.50,218.50,211.00,214.50,-,3.0,214.50,2,215.00,33,26.42
960,6277,宏正,"550,870",397,"49,257,482",89.00,89.80,88.90,89.80,+,1.2,89.70,4,89.80,18,7.16
961,6278,台表科,"6,014,518","3,537","735,650,699",125.00,125.00,121.00,121.50,-,2.5,121.50,3,122.00,223,16.20
962,6281,全國電,"128,871",135,"10,884,557",85.20,85.20,84.00,84.70,-,0.7,84.30,1,84.70,1,14.43
963,6282,康舒,"14,660,633","7,196","444,293,845",30.95,30.95,30.00,30.10,-,0.85,30.10,217,30.15,16,11.85
964,6283,淳安,"17,793,163","10,328","1,193,858,692",72.50,74.50,65.30,65.30,-,7.2,--,0,65.30,182,0.00
965,6285,啟碁,"4,082,087","2,823","312,773,537",76.50,77.30,76.00,76.20,+,0.4,76.10,74,76.20,4,20.65
966,6288,聯嘉,"3,313,983","1,822","106,941,187",32.95,32.95,31.85,32.10,-,0.5,32.05,31,32.10,84,39.15
967,6289,華上,"127,294",44,"383,882",3.05,3.05,3.00,3.00,-,0.07,2.95,1,3.00,2,0.00
968,6405,悅城,"900,010",409,"21,976,802",24.70,25.25,23.60,25.00,+,0.7,24.85,24,25.00,7,18.94
969,6409,旭隼,"173,643",179,"199,098,850","1,135.00","1,160.00","1,130.00","1,135.00", ,0.0,"1,135.00",8,"1,140.00",2,45.17
970,6412,群電,"1,778,091","1,273","139,157,525",79.80,79.80,77.50,77.70,-,2.1,77.60,15,77.70,4,14.10
971,6414,樺漢,"776,583",747,"189,391,503",249.00,249.00,241.50,242.50,-,4.5,242.50,22,243.00,8,20.21
972,6415,矽力-KY,"766,794",892,"1,922,559,590","2,560.00","2,620.00","2,455.00","2,525.00",-,20.0,"2,520.00",13,"2,525.00",1,71.55
973,6416,瑞祺電通,"15,728,204","9,339","2,627,420,295",160.00,173.50,154.00,173.50,+,15.5,173.50,"1,356",--,0,33.95
974,6426,統新,"433,508",380,"47,624,089",112.50,113.00,108.50,108.50,-,3.0,108.50,17,109.00,2,30.31
975,6431,光麗-KY,"91,001",76,"3,179,234",35.50,35.50,34.65,35.20,-,0.3,35.20,3,35.35,4,0.00
976,6438,迅得,"5,272,109","3,845","634,621,975",117.00,126.50,113.50,118.00,+,2.0,118.00,24,118.50,3,18.76
977,6442,光聖,"25,435",26,"824,499",32.20,32.60,32.10,32.60,+,0.4,32.45,2,32.95,3,0.00
978,6443,元晶,"21,783,819","13,729","1,000,321,597",46.70,47.45,45.30,45.30,-,1.7,45.30,506,45.35,48,0.00
979,6449,鈺邦,"1,342,560",862,"90,809,751",67.20,68.50,66.80,67.90,+,1.1,67.90,57,68.00,22,21.97
980,6451,訊芯-KY,"1,370,714",957,"173,730,473",130.00,130.00,125.00,125.00,-,4.0,125.00,13,125.50,9,18.36
981,6456,GIS-KY,"2,206,914","1,446","274,507,656",125.50,126.00,123.00,123.00,-,2.0,123.00,139,123.50,45,11.14
982,6464,台數科,"25,026",24,"2,752,385",110.00,110.00,109.50,110.00, ,0.0,109.50,14,110.50,3,12.87
983,6477,安集,"2,700,179","1,810","177,399,709",67.20,67.20,65.00,65.10,-,0.9,65.10,43,65.20,3,26.57
984,6491,晶碩,"1,013,559","1,017","400,366,143",388.50,406.50,385.00,392.00,+,3.5,392.00,2,393.00,26,38.36
985,6504,南六,"364,952",370,"64,671,063",179.00,179.00,176.00,176.50,-,3.0,176.50,4,177.00,9,8.82
986,6505,台塑化,"2,604,003","1,536","254,512,245",97.50,98.20,97.10,98.00,-,0.2,98.00,191,98.10,20,125.64
987,6515,穎崴,"174,427",239,"69,384,854",400.00,404.00,395.50,395.50,-,4.5,395.50,2,396.00,3,22.77
988,6525,捷敏-KY,"829,592",681,"71,955,476",88.50,88.50,85.60,87.00,-,0.8,86.90,1,87.00,1,16.38
989,6531,愛普,"6,651,101","7,535","5,537,052,031",880.00,880.00,792.00,792.00,-,88.0,--,0,792.00,287,72.20
990,6533,晶心科,"3,374,165","4,016","1,994,818,303",620.00,620.00,570.00,585.00,-,33.0,584.00,2,585.00,1,713.41
991,6541,泰福-KY,"3,293,701","2,358","257,904,881",81.50,83.50,74.00,78.80,-,2.7,78.60,3,78.80,1,0.00
992,6552,易華電,"604,223",453,"42,644,678",71.40,71.40,69.80,70.10,-,0.5,70.10,1,70.60,27,39.16
993,6558,興能高,"3,816,400","2,537","193,975,837",50.40,51.70,49.75,50.10,+,0.8,50.00,52,50.10,20,69.58
994,6573,虹揚-KY,"1,213,428",637,"23,958,538",19.85,20.15,19.10,19.90,+,0.45,19.85,1,19.90,2,0.00
995,6579,研揚,"49,100",38,"3,482,900",70.80,71.30,70.60,71.00,+,0.2,71.00,2,71.20,2,27.52
996,6581,鋼聯,"173,220",127,"13,017,097",76.00,76.10,74.60,74.80,-,0.6,74.80,1,75.00,4,20.44
997,6582,申豐,"247,787",198,"76,566,183",309.00,309.00,309.00,309.00,+,28.0,309.00,"1,111",--,0,18.45
998,6591,動力-KY,"3,217,129","2,173","233,665,799",74.50,74.90,70.90,71.50,+,2.5,71.50,36,71.90,1,13.88
999,6592,和潤企業,"2,418,031",952,"213,790,499",88.80,88.80,88.00,88.50,+,0.5,88.50,25,88.60,75,17.63
1000,6598,ABC-KY,"246,621",199,"11,745,389",48.30,48.30,47.45,47.45,-,0.05,47.45,3,47.50,1,0.00
1001,6605,帝寶,"950,009",739,"61,058,369",65.00,65.00,63.50,63.80,-,0.2,63.70,2,63.90,3,17.92
1002,6625,必應,"26,898",38,"896,535",33.40,33.50,33.20,33.20,-,0.2,33.20,1,33.35,1,0.00
1003,6641,基士德-KY,"79,790",89,"5,997,843",76.40,76.40,74.60,74.60,-,0.9,74.60,2,75.60,1,11.39
1004,6655,科定,"39,205",32,"2,337,290",59.50,60.20,58.90,59.50, ,0.0,59.50,8,59.70,8,14.10
1005,6666,羅麗芬-KY,"18,050",18,"1,709,150",95.00,95.00,94.20,94.80,+,0.7,94.30,3,94.90,1,43.09
1006,6668,中揚光,"14,474,914","9,376","1,501,240,799",103.00,106.50,97.30,98.30,+,1.1,98.30,11,98.50,5,53.42
1007,6669,緯穎,"973,268","1,158","814,492,370",866.00,866.00,830.00,830.00,-,28.0,830.00,48,832.00,3,16.86
1008,6670,復盛應用,"587,262",570,"137,138,219",241.00,241.00,230.50,231.00,-,11.5,231.00,6,231.50,9,26.80
1009,6671,三能-KY,"249,000",158,"12,131,150",48.10,49.30,47.80,49.00,+,1.9,48.90,2,49.00,1,13.39
1010,6672,騰輝電子-KY,"1,750,563","1,322","162,890,230",95.50,95.70,91.60,92.10,-,3.0,92.10,6,92.20,1,17.64
1011,6674,鋐寶科技,"445,031",347,"18,214,299",41.35,42.50,39.95,40.40,-,0.1,40.30,8,40.40,3,57.71
1012,6698,旭暉應材,"2,083,341","1,678","111,107,858",55.40,55.70,51.50,53.50,-,1.0,53.40,1,53.50,10,764.29
1013,6706,惠特,"5,876,558","4,991","1,287,753,285",220.50,224.50,214.00,217.00,-,3.0,217.00,21,217.50,3,42.55
1014,6715,嘉基,"51,040",49,"6,389,020",127.50,127.50,124.50,124.50,-,3.0,124.50,10,126.50,1,26.10
1015,6743,安普新,"1,585,454","1,279","278,452,044",179.00,179.50,173.00,174.50,-,2.0,174.50,5,175.00,12,43.62
1016,6754,匯僑設計,"93,002",79,"4,418,444",47.50,47.85,47.15,47.25,+,0.05,47.20,1,47.25,4,14.63
1017,6756,威鋒電子,"1,171,676","1,390","356,498,787",318.50,318.50,297.50,298.50,X,0.0,298.50,2,299.00,3,63.24
1018,6776,展碁國際,"2,689,955","2,665","153,837,808",62.60,62.60,56.40,56.40,-,6.2,--,0,56.40,80,21.44
1019,6781,AES-KY,"1,916,029","1,837","1,279,318,617",660.00,698.00,634.00,698.00,+,63.0,698.00,"1,264",--,0,49.26
1020,8011,台通,"2,641,959","1,311","55,790,052",21.65,21.65,20.80,21.00,-,0.45,21.00,44,21.05,1,0.00
1021,8016,矽創,"2,783,651","2,403","711,407,649",259.00,262.00,250.50,253.50,-,3.0,253.00,2,253.50,7,21.97
1022,8021,尖點,"16,400,728","7,226","712,945,215",41.00,44.20,40.45,44.20,+,4.0,44.20,665,--,0,22.32
1023,8028,昇陽半導體,"1,180,658",774,"65,538,661",56.40,56.40,55.00,55.20,-,0.4,55.20,6,55.30,9,54.12
1024,8033,雷虎,"3,311,987","1,660","63,970,144",19.70,19.75,19.10,19.40,-,0.1,19.40,2,19.45,16,646.67
1025,8039,台虹,"2,172,519",995,"118,655,121",55.00,55.50,54.30,54.50,-,0.4,54.40,24,54.50,111,14.73
1026,8046,南電,"7,616,449","6,494","2,559,049,312",333.00,342.50,331.50,334.50,+,2.0,334.00,17,334.50,16,58.99
1027,8070,長華*,"14,613,338","7,898","616,699,888",42.30,43.00,41.00,42.70,+,1.1,42.65,58,42.70,278,27.37
1028,8072,陞泰,"88,510",85,"2,566,545",28.90,29.15,28.70,28.95,+,0.1,28.95,5,29.00,1,0.00
1029,8081,致新,"3,494,088","3,152","860,483,873",245.00,255.00,238.50,247.50,+,10.0,247.00,18,247.50,2,20.22
1030,8101,華冠,"1,780,068",324,"5,184,164",2.89,2.99,2.83,2.83, ,0.0,2.83,23,2.84,28,0.00
1031,8103,瀚荃,"1,518,502",914,"59,743,830",40.10,40.20,38.85,39.10,-,0.85,39.10,28,39.15,1,14.32
1032,8104,錸寶,"2,760,830","1,803","174,184,088",64.00,65.10,61.50,62.20,-,1.9,62.00,2,62.20,24,20.06
1033,8105,凌巨,"12,526,482","4,074","181,905,520",14.35,14.90,14.30,14.35,+,0.15,14.35,308,14.40,131,0.00
1034,8110,華東,"25,190,531","7,977","387,651,254",14.95,15.90,14.65,15.75,+,0.95,15.70,189,15.75,82,30.29
1035,8112,至上,"13,685,763","6,259","628,755,285",45.80,46.45,45.25,46.35,+,1.35,46.35,6,46.40,77,11.01
1036,8114,振樺電,"67,588",64,"5,555,786",81.80,82.60,81.60,82.30,+,0.5,82.30,1,82.60,2,49.88
1037,8131,福懋科,"652,021",391,"27,485,507",42.35,42.50,42.00,42.10,-,0.05,42.10,13,42.15,22,13.28
1038,8150,南茂,"17,700,349","9,862","835,425,046",48.00,48.15,46.65,46.85,-,0.65,46.85,58,46.90,24,14.42
1039,8163,達方,"5,679,301","3,415","273,517,544",49.05,49.05,47.50,48.00,-,1.2,47.95,116,48.05,8,14.86
1040,8201,無敵,"367,961",168,"4,294,509",11.85,12.00,11.30,11.65,-,0.15,11.65,2,11.70,3,0.00
1041,8210,勤誠,"1,851,056","1,442","165,141,117",87.20,91.20,85.80,89.60,+,2.8,89.60,5,89.70,3,11.09
1042,8213,志超,"2,252,702","1,193","118,565,602",53.30,53.40,52.20,52.70,-,0.5,52.70,37,52.80,32,7.17
1043,8215,明基材,"26,900,784","10,545","904,963,897",32.40,34.75,32.30,33.55,+,1.15,33.55,33,33.60,165,27.28
1044,8222,寶一,"327,796",261,"4,523,953",13.90,14.00,13.60,13.80, ,0.0,13.75,8,13.80,1,0.00
1045,8249,菱光,"703,256",613,"17,099,316",24.55,24.60,24.10,24.30,-,0.25,24.30,5,24.35,1,16.20
1046,8261,富鼎,"7,998,458","5,086","488,800,299",62.90,63.40,59.60,60.00,-,1.8,60.00,41,60.10,18,24.59
1047,8271,宇瞻,"2,928,455","1,692","129,341,728",44.40,44.45,43.65,44.25,+,0.6,44.25,5,44.30,23,15.36
1048,8341,日友,"58,865",174,"13,471,233",229.50,230.00,227.50,229.00,+,1.0,228.00,7,229.50,1,25.70
1049,8367,建新國際,"177,002",103,"5,685,964",32.35,32.40,31.90,31.90,-,0.35,31.90,11,31.95,1,11.64
1050,8374,羅昇,"518,092",276,"14,660,948",28.80,29.15,27.65,28.10,-,0.45,28.10,22,28.15,7,36.03
1051,8404,百和興業-KY,"1,193,133",431,"40,309,274",33.80,33.80,32.80,33.80,+,3.05,33.80,"3,688",--,0,20.74
1052,8411,福貞-KY,"245,470",138,"3,484,919",14.20,14.25,14.15,14.25,+,0.1,14.20,6,14.25,19,37.50
1053,8422,可寧衛,"148,581",201,"25,676,912",173.00,173.00,172.00,173.00, ,0.0,172.50,35,173.00,11,16.00
1054,8427,基勝-KY,"4,040",6,"198,373",49.60,49.60,48.90,48.90,+,0.4,48.50,1,48.90,2,0.00
1055,8429,金麗-KY,"684,062",352,"5,811,141",8.44,8.57,8.42,8.55,+,0.11,8.53,2,8.55,8,0.00
1056,8442,威宏-KY,"19,000",17,"755,150",39.50,40.15,39.40,40.10,+,0.1,39.10,1,40.00,4,0.00
1057,8443,阿瘦,"54,178",88,"638,015",11.75,11.85,11.70,11.85,+,0.1,11.75,1,11.85,8,0.00
1058,8454,富邦媒,"75,779",183,"74,849,272",988.00,992.00,981.00,988.00, ,0.0,987.00,3,988.00,1,71.18
1059,8462,柏文,"108,815",178,"18,604,863",171.50,173.00,169.00,172.00, ,0.0,171.00,3,172.00,2,31.62
1060,8463,潤泰材,"162,070",96,"5,983,707",37.15,37.30,36.50,36.60,-,0.65,36.60,6,36.80,11,42.07
1061,8464,億豐,"293,407",284,"118,856,748",402.00,408.00,401.00,406.50,+,4.5,406.00,3,406.50,7,24.85
1062,8466,美吉吉-KY,"14,000",13,"893,200",64.00,64.00,63.60,64.00, ,0.0,63.70,5,64.00,9,15.17
1063,8467,波力-KY,"7,000",6,"333,500",48.10,48.10,47.20,47.80,+,0.6,47.20,1,47.80,3,99.58
1064,8473,山林水,"98,842",99,"3,976,791",40.45,40.45,40.15,40.15,-,0.3,40.15,12,40.25,5,34.91
1065,8478,東哥遊艇,"419,185",341,"25,550,490",59.50,62.60,58.60,61.50,+,2.4,61.40,3,61.50,24,58.57
1066,8480,泰昇-KY,"106,970",102,"12,515,785",118.50,118.50,116.00,116.50,-,2.0,116.50,4,117.00,1,11.70
1067,8481,政伸,"53,023",50,"4,741,665",89.60,89.90,89.00,89.10,-,0.5,89.10,3,89.80,3,7.12
1068,8482,商億-KY,"204,000",92,"16,269,400",79.80,80.90,79.50,80.50,+,0.3,80.40,2,80.70,9,13.28
1069,8488,吉源-KY,"143,000",64,"2,337,850",16.20,16.60,16.20,16.50,+,0.65,16.30,10,16.50,4,22.00
1070,8499,鼎炫-KY,"1,651,441","1,400","281,046,793",175.00,178.50,165.50,166.00,-,7.0,165.50,17,166.00,1,13.53
1071,8926,台汽電,"699,895",417,"27,329,966",39.10,39.10,39.00,39.10, ,0.0,39.05,31,39.10,56,21.60
1072,8940,新天地,"138,398",101,"1,747,651",12.75,12.80,12.45,12.65,+,0.05,12.60,1,12.65,7,0.00
1073,8996,高力,"780,255",561,"42,487,772",55.40,55.40,54.00,54.30,X,0.0,54.30,11,54.50,2,43.10
1074,9103,美德醫療-DR,"3,929,007","1,589","75,315,952",19.65,19.65,18.95,18.95,-,0.45,18.95,93,19.00,103,0.00
1075,910322,康師傅-DR,"129,000",24,"3,301,650",25.65,25.75,25.55,25.60,-,0.1,25.60,9,25.65,1,0.00
1076,9105,泰金寶-DR,"8,974,604","1,429","36,603,047",4.10,4.11,4.05,4.05, ,0.0,4.05,"1,003",4.06,33,0.00
1077,910861,神州-DR,"420,050",57,"4,437,667",10.55,10.75,10.50,10.50,+,0.05,10.50,18,10.55,2,0.00
1078,9110,越南控-DR,"284,000",57,"771,730",2.74,2.74,2.70,2.72,-,0.02,2.71,35,2.72,23,0.00
1079,911608,明輝-DR,"500,002",189,"1,960,277",3.82,4.10,3.79,3.99,+,0.23,3.99,8,4.00,20,0.00
1080,911616,杜康-DR,"785,978",238,"1,403,288",1.85,1.85,1.76,1.77, ,0.0,1.77,23,1.78,63,0.00
1081,911622,泰聚亨-DR,"1,096,000",310,"5,690,860",5.43,5.44,5.00,5.00,-,0.23,4.99,2,5.00,14,0.00
1082,911868,同方友友-DR,"732,000",158,"1,076,870",1.52,1.52,1.45,1.46,-,0.03,1.46,22,1.47,30,0.00
1083,912000,晨訊科-DR,"1,266,133",256,"3,493,229",2.80,2.80,2.73,2.76,-,0.02,2.75,11,2.76,27,0.00
1084,912398,友佳-DR,"222,680",179,"955,723",4.30,4.30,4.28,4.28,-,0.02,4.28,36,4.30,9,0.00
1085,9136,巨騰-DR,"244,054",62,"2,391,165",9.80,9.85,9.75,9.75,-,0.05,9.75,50,9.83,5,0.00
1086,9188,精熙-DR,"191,000",49,"565,910",2.97,2.98,2.95,2.98,+,0.03,2.96,15,2.97,9,0.00
1087,9802,鈺齊-KY,"8,332,472","4,340","1,028,236,974",118.00,126.50,116.50,126.50,+,11.5,126.50,"3,696",--,0,26.14
1088,9902,台火,"762,120",318,"8,683,842",11.50,11.55,11.30,11.45, ,0.0,11.40,10,11.45,21,34.70
1089,9904,寶成,"13,620,796","5,415","462,382,967",33.45,34.40,33.30,34.15,+,0.65,34.10,30,34.15,13,20.82
1090,9905,大華,"541,645",303,"13,920,666",25.50,25.85,25.50,25.75,+,0.45,25.65,17,25.75,7,14.07
1091,9906,欣巴巴,"30,505",40,"1,465,924",48.85,48.90,47.50,48.20,-,0.2,47.90,1,48.15,1,0.00
1092,9907,統一實,"7,106,577","1,986","89,870,119",12.50,12.80,12.45,12.75,+,0.25,12.70,268,12.75,13,21.98
1093,9908,大台北,"57,263",51,"1,924,713",33.55,33.70,33.55,33.70,+,0.05,33.60,17,33.70,25,20.55
1094,9910,豐泰,"1,493,754","1,534","303,050,890",199.00,204.00,199.00,203.50,+,3.5,203.50,22,204.00,85,36.80
1095,9911,櫻花,"332,754",365,"21,044,542",63.70,64.00,63.00,63.20,-,0.9,63.10,54,63.20,7,15.49
1096,9912,偉聯,"235,386",229,"2,232,802",9.59,9.65,9.20,9.57,-,0.02,9.45,4,9.58,8,0.00
1097,9914,美利達,"1,598,522","1,484","554,828,296",345.00,353.00,341.00,346.50,+,7.0,346.00,3,346.50,22,25.94
1098,9917,中保科,"324,941",302,"29,870,461",92.10,92.20,91.80,91.80,-,0.6,91.80,8,92.00,11,16.94
1099,9918,欣天然,"11,066",16,"421,645",38.00,38.20,38.00,38.15,-,0.05,38.05,1,38.20,1,20.73
1100,9919,康那香,"1,758,075",970,"61,097,903",34.65,35.00,34.55,34.75,+,0.05,34.70,37,34.75,9,7.72
1101,9921,巨大,"1,129,490",943,"381,108,049",340.00,344.00,334.50,336.50,-,4.5,336.50,6,337.50,2,25.49
1102,9924,福興,"516,099",326,"23,966,377",46.65,47.00,46.00,46.65,-,0.1,46.60,2,46.65,7,10.68
1103,9925,新保,"294,714",210,"11,210,004",38.10,38.10,38.00,38.00,-,0.1,38.00,76,38.10,86,16.45
1104,9926,新海,"11,485",18,"553,583",48.00,48.75,48.00,48.50,+,0.15,48.15,3,48.50,1,20.73
