,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
735,3266,昇陽,"116,001",60,"1,532,963",13.20,13.35,13.10,13.10,-,0.1,13.10,6,13.15,19,32.75
736,3296,勝德,"1,238,761",635,"32,562,011",26.90,26.95,25.85,26.10,-,0.5,26.10,2,26.15,8,113.48
737,3305,昇貿,"6,061,507","4,093","304,308,875",52.00,52.80,49.00,49.50,-,2.1,49.50,115,49.55,1,32.78
738,3308,聯德,"1,321,120",506,"15,655,255",11.85,11.85,11.85,11.85,+,1.05,11.85,"1,161",--,0,0.00
739,3311,閎暉,"1,087,432",708,"51,336,269",48.25,48.50,46.00,46.85,-,1.15,46.80,6,46.85,2,0.00
740,3312,弘憶股,"3,744,557","1,811","80,199,951",22.00,22.05,21.10,21.25,-,0.6,21.25,21,21.30,15,13.45
741,3321,同泰,"1,406,353",772,"21,270,850",15.40,15.40,15.00,15.00,-,0.3,15.00,146,15.05,11,0.00
742,3338,泰碩,"785,028",560,"50,383,057",65.10,65.20,63.90,64.00,-,0.6,64.00,34,64.10,2,25.00
743,3346,麗清,"8,606,393","5,325","551,032,588",66.80,66.80,61.60,62.20,-,3.4,62.20,15,62.30,15,414.67
744,3356,奇偶,"960,234",636,"30,253,191",32.00,32.10,31.15,31.30,-,0.55,31.30,8,31.35,8,17.68
745,3376,新日興,"1,012,440",922,"131,800,294",131.00,131.00,129.50,130.50,-,0.5,130.00,22,130.50,23,14.98
746,3380,明泰,"19,922,060","10,737","759,104,833",36.90,39.25,36.60,38.40,+,2.0,38.35,2,38.40,119,37.28
747,3383,新世紀,"125,500",47,"614,987",4.80,4.93,4.80,4.92,-,0.03,4.91,6,4.92,6,0.00
748,3406,玉晶光,"2,059,358","2,124","985,929,288",480.00,485.50,471.00,479.50,+,1.0,479.50,5,480.00,69,17.53
749,3413,京鼎,"5,049,046","4,513","1,371,213,418",280.50,281.00,265.00,272.00,-,8.5,271.50,4,272.00,3,18.26
750,3416,融程電,"461,546",336,"37,384,792",81.30,81.50,80.50,81.00,+,0.8,80.90,12,81.00,5,22.95
751,3419,譁裕,"4,616,415","2,207","109,319,111",23.65,24.15,23.30,23.50,+,0.2,23.45,63,23.50,4,38.52
752,3432,台端,"523,400",249,"7,726,329",14.80,15.10,14.40,15.05,+,0.35,15.00,10,15.05,2,30.71
753,3437,榮創,"8,025,887","4,667","320,912,318",40.65,41.15,39.35,39.55,-,1.15,39.55,17,39.60,25,0.00
754,3443,創意,"4,135,083","3,983","1,684,587,713",418.00,418.50,400.50,405.00,-,8.5,405.00,52,405.50,2,63.88
755,3450,聯鈞,"6,145,603","4,011","419,888,210",67.30,69.30,66.70,68.00,+,1.3,67.90,17,68.00,2,41.21
756,3454,晶睿,"256,614",242,"22,605,413",89.80,89.80,86.80,87.90,-,1.9,87.70,5,87.90,3,30.52
757,3481,群創,"665,192,405","134,736","16,630,864,162",24.45,25.90,24.30,24.65,+,0.65,24.60,"3,528",24.65,491,154.06
758,3494,誠研,"641,688",420,"2,824,526",4.46,4.46,4.36,4.39,-,0.07,4.39,15,4.44,5,0.00
759,3501,維熹,"381,489",268,"20,596,246",54.40,54.50,53.60,54.00,+,0.2,53.90,4,54.00,30,15.04
760,3504,揚明光,"2,846,221","2,118","255,781,095",91.10,93.00,87.50,87.70,-,2.4,87.70,1,87.80,1,0.00
761,3515,華擎,"755,037",597,"123,005,890",165.00,165.00,161.50,163.00,-,1.0,162.50,21,163.00,15,14.42
762,3518,柏騰,"696,546",341,"23,072,995",33.80,34.15,32.60,32.65,-,0.1,32.65,5,32.80,7,0.00
763,3528,安馳,"43,960",48,"2,007,296",45.80,45.80,45.55,45.65,-,0.05,45.65,2,45.70,11,14.36
764,3530,晶相光,"18,958,184","14,372","2,651,325,520",137.50,146.00,134.50,137.00,+,2.0,137.00,15,137.50,2,37.53
765,3532,台勝科,"1,411,418","1,143","214,113,010",154.50,154.50,148.50,151.00,-,1.0,150.50,11,151.00,6,44.81
766,3533,嘉澤,"762,710",851,"380,893,067",509.00,509.00,495.00,496.50,-,12.5,496.50,12,497.50,2,18.81
767,3535,晶彩科,"2,602,289","1,210","53,803,615",20.15,20.95,20.15,20.75,+,0.6,20.75,7,20.80,59,0.00
768,3536,誠創,"225,027",51,"1,113,622",4.95,5.00,4.80,4.81,-,0.18,4.81,2,4.85,2,0.00
769,3543,州巧,"203,411",110,"6,193,447",30.70,30.80,30.20,30.30,-,0.4,30.30,4,30.60,3,0.00
770,3545,敦泰,"60,573,421","41,915","14,234,866,064",237.50,247.50,219.00,225.00,-,11.5,225.00,2,225.50,11,46.58
771,3550,聯穎,"8,276,692","3,539","179,512,949",22.20,22.85,21.00,21.00, ,0.0,21.00,94,21.15,3,22.34
772,3557,嘉威,"518,511",387,"51,592,448",101.00,102.00,98.90,98.90,-,2.1,98.90,9,99.00,3,9.88
773,3563,牧德,"723,253",772,"215,873,364",299.50,301.50,295.00,297.50,+,0.5,297.50,7,298.00,1,20.16
774,3576,聯合再生,"73,897,179","22,587","1,159,100,553",15.95,16.15,15.35,15.55,-,0.25,15.50,632,15.55,569,0.00
775,3583,辛耘,"2,516,319","1,795","183,895,358",75.20,75.30,71.60,71.80,-,2.2,71.80,23,71.90,22,18.89
776,3588,通嘉,"8,850,016","6,546","817,613,277",89.10,95.30,89.10,89.50,+,1.3,89.50,18,89.80,1,70.47
777,3591,艾笛森,"7,042,722","3,549","175,265,732",26.10,26.25,23.50,24.05,-,2.05,24.00,40,24.05,6,68.71
778,3593,力銘,"625,747",461,"12,066,694",18.60,20.15,18.60,19.20,-,0.35,19.15,1,19.20,7,24.00
779,3596,智易,"5,007,261","3,509","621,123,266",125.50,126.00,122.00,125.50,+,1.5,125.00,24,125.50,114,15.27
780,3605,宏致,"3,353,455","1,959","160,203,021",47.50,48.35,47.05,47.70,+,0.65,47.65,13,47.70,35,21.11
781,3607,谷崧,"995,349",494,"15,992,252",16.25,16.25,15.85,16.05,+,0.05,16.05,10,16.10,16,0.00
782,3617,碩天,"197,197",161,"17,367,510",87.70,88.50,87.40,88.50,+,1.2,88.10,6,88.50,12,15.47
783,3622,洋華,"5,345,019","3,129","209,405,059",38.50,40.00,38.15,39.30,+,1.0,39.30,1,39.35,18,31.69
784,3645,達邁,"932,900",659,"54,503,237",58.90,59.00,58.00,58.10,-,0.7,58.00,51,58.20,5,21.13
785,3653,健策,"2,713,118","2,206","833,645,772",305.50,312.00,298.00,310.50,+,7.5,310.00,104,310.50,13,43.31
786,3661,世芯-KY,"648,028","1,700","526,198,736",812.00,812.00,812.00,812.00,-,90.0,--,0,812.00,"14,760",60.33
787,3665,貿聯-KY,"1,697,583","1,468","478,987,869",287.00,287.00,280.00,281.00,-,3.0,281.00,52,281.50,9,20.07
788,3669,圓展,"2,154,575","1,634","196,491,533",92.50,92.50,89.50,91.40,+,0.3,91.40,44,91.50,6,10.78
789,3673,TPK-KY,"9,254,974","5,949","466,524,037",52.00,52.20,49.50,49.50,-,2.7,49.50,138,49.55,12,19.49
790,3679,新至陞,"499,598",459,"79,326,784",163.00,163.00,157.00,157.00,-,5.0,157.00,21,158.00,4,13.60
791,3682,亞太電,"8,153,478","2,222","78,538,620",9.72,9.73,9.59,9.59,-,0.1,9.59,217,9.60,165,0.00
792,3686,達能,"1,268,219",743,"22,144,925",17.80,17.85,17.25,17.35,-,0.4,17.35,88,17.45,2,0.00
793,3694,海華,"10,995,281","5,101","341,266,464",30.15,32.10,29.80,30.55,+,1.0,30.55,53,30.60,16,15.12
794,3701,大眾控,"29,280",46,"420,438",14.15,14.45,14.15,14.45,+,0.05,14.40,3,14.50,3,0.00
795,3702,大聯大,"11,556,987","6,485","549,653,422",48.50,48.50,46.80,46.95,-,2.55,46.95,59,47.00,58,10.87
796,3702A,大聯大甲特,"139,463",58,"7,050,160",50.70,50.70,50.50,50.70, ,0.0,50.50,109,50.70,39,0.00
797,3703,欣陸,"5,236,581","2,387","132,406,871",25.45,25.80,24.70,25.70,+,0.2,25.65,9,25.70,21,13.74
798,3704,合勤控,"18,869,649","8,995","736,208,452",40.15,40.15,38.00,39.25,-,1.05,39.20,29,39.25,19,20.77
799,3705,永信,"317,019",212,"13,963,862",44.05,44.15,44.00,44.05,-,0.05,44.05,9,44.10,2,14.83
800,3706,神達,"6,427,474","2,866","188,355,841",29.25,29.45,29.20,29.45,+,0.25,29.40,30,29.45,235,12.07
801,3708,上緯投控,"1,487,234","1,145","212,300,529",143.00,145.00,141.00,141.50,-,1.5,141.00,59,141.50,3,20.90
802,3711,日月光投控,"22,206,412","10,079","2,492,734,811",112.50,114.00,111.00,112.00,+,0.5,111.50,629,112.00,108,17.36
803,3712,永崴投控,"2,054,373","1,128","70,096,586",35.20,35.20,33.60,33.70,-,0.55,33.70,5,33.75,21,99.12
